country,year,sex,age,suicides_no,population,suicides/100k pop,HDI for year, gdp_for_year ($) ,gdp_per_capita ($)
Albania,1995,male,25-34 years,13,232900,5.58,0.619,"2,424,499,009",835
Albania,1995,male,55-74 years,9,178000,5.06,0.619,"2,424,499,009",835
Albania,1995,female,75+ years,2,40800,4.9,0.619,"2,424,499,009",835
Albania,1995,female,15-24 years,13,283500,4.59,0.619,"2,424,499,009",835
Albania,1995,male,15-24 years,11,241200,4.56,0.619,"2,424,499,009",835
Albania,1995,male,75+ years,1,25100,3.98,0.619,"2,424,499,009",835
Albania,1995,male,35-54 years,14,375900,3.72,0.619,"2,424,499,009",835
Albania,1995,female,25-34 years,7,264000,2.65,0.619,"2,424,499,009",835
Albania,1995,female,35-54 years,8,356400,2.24,0.619,"2,424,499,009",835
Albania,1995,male,5-14 years,6,376500,1.59,0.619,"2,424,499,009",835
Albania,1995,female,55-74 years,2,180400,1.11,0.619,"2,424,499,009",835
Albania,1995,female,5-14 years,2,348700,0.57,0.619,"2,424,499,009",835
Albania,2000,male,25-34 years,17,232000,7.33,0.6559999999999999,"3,632,043,908",1299
Albania,2000,male,55-74 years,10,177400,5.64,0.6559999999999999,"3,632,043,908",1299
Albania,2000,female,75+ years,2,37800,5.29,0.6559999999999999,"3,632,043,908",1299
Albania,2000,male,75+ years,1,24900,4.02,0.6559999999999999,"3,632,043,908",1299
Albania,2000,female,15-24 years,6,263900,2.27,0.6559999999999999,"3,632,043,908",1299
Albania,2000,male,15-24 years,5,240000,2.08,0.6559999999999999,"3,632,043,908",1299
Albania,2000,female,35-54 years,5,332200,1.51,0.6559999999999999,"3,632,043,908",1299
Albania,2000,female,25-34 years,3,245800,1.22,0.6559999999999999,"3,632,043,908",1299
Albania,2000,male,35-54 years,4,374700,1.07,0.6559999999999999,"3,632,043,908",1299
Albania,2000,male,5-14 years,1,374900,0.27,0.6559999999999999,"3,632,043,908",1299
Albania,2000,female,5-14 years,0,324700,0.0,0.6559999999999999,"3,632,043,908",1299
Albania,2000,female,55-74 years,0,168000,0.0,0.6559999999999999,"3,632,043,908",1299
Albania,2005,female,15-24 years,0,281922,0.0,0.695,"8,158,548,717",2931
Albania,2005,female,25-34 years,0,190745,0.0,0.695,"8,158,548,717",2931
Albania,2005,female,35-54 years,0,386513,0.0,0.695,"8,158,548,717",2931
Albania,2005,female,5-14 years,0,276559,0.0,0.695,"8,158,548,717",2931
Albania,2005,female,55-74 years,0,210998,0.0,0.695,"8,158,548,717",2931
Albania,2005,female,75+ years,0,53191,0.0,0.695,"8,158,548,717",2931
Albania,2005,male,15-24 years,0,281675,0.0,0.695,"8,158,548,717",2931
Albania,2005,male,25-34 years,0,177519,0.0,0.695,"8,158,548,717",2931
Albania,2005,male,35-54 years,0,380242,0.0,0.695,"8,158,548,717",2931
Albania,2005,male,5-14 years,0,291367,0.0,0.695,"8,158,548,717",2931
Albania,2005,male,55-74 years,0,214118,0.0,0.695,"8,158,548,717",2931
Albania,2005,male,75+ years,0,38471,0.0,0.695,"8,158,548,717",2931
Albania,2010,male,55-74 years,20,241852,8.27,0.722,"11,926,953,259",4359
Albania,2010,male,35-54 years,20,371611,5.38,0.722,"11,926,953,259",4359
Albania,2010,male,25-34 years,9,179720,5.01,0.722,"11,926,953,259",4359
Albania,2010,male,75+ years,2,50767,3.94,0.722,"11,926,953,259",4359
Albania,2010,male,15-24 years,10,279508,3.58,0.722,"11,926,953,259",4359
Albania,2010,female,25-34 years,6,183579,3.27,0.722,"11,926,953,259",4359
Albania,2010,female,75+ years,2,64415,3.1,0.722,"11,926,953,259",4359
Albania,2010,female,35-54 years,12,394593,3.04,0.722,"11,926,953,259",4359
Albania,2010,female,55-74 years,7,241491,2.9,0.722,"11,926,953,259",4359
Albania,2010,female,15-24 years,6,263581,2.28,0.722,"11,926,953,259",4359
Albania,2010,female,5-14 years,2,223969,0.89,0.722,"11,926,953,259",4359
Albania,2010,male,5-14 years,0,240939,0.0,0.722,"11,926,953,259",4359
Antigua and Barbuda,2012,female,15-24 years,0,8435,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,female,25-34 years,0,7215,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,female,35-54 years,0,15193,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,female,5-14 years,0,8401,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,female,55-74 years,0,5512,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,female,75+ years,0,1625,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,male,15-24 years,0,7893,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,male,25-34 years,0,6629,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,male,35-54 years,0,13280,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,male,5-14 years,0,8475,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,male,55-74 years,0,4994,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2012,male,75+ years,0,1051,0.0,0.7809999999999999,"1,211,411,704",13657
Antigua and Barbuda,2013,female,15-24 years,0,8494,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,female,25-34 years,0,7397,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,female,35-54 years,0,15236,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,female,5-14 years,0,8353,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,female,55-74 years,0,5787,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,female,75+ years,0,1652,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,male,15-24 years,0,8061,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,male,25-34 years,0,6782,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,male,35-54 years,0,13302,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,male,5-14 years,0,8405,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,male,55-74 years,0,5238,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2013,male,75+ years,0,1072,0.0,0.7809999999999999,"1,192,925,407",13287
Antigua and Barbuda,2014,female,15-24 years,0,8537,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,female,25-34 years,0,7578,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,female,35-54 years,0,15273,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,female,5-14 years,0,8296,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,female,55-74 years,0,6085,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,female,75+ years,0,1686,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,male,15-24 years,0,8208,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,male,25-34 years,0,6928,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,male,35-54 years,0,13325,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,male,5-14 years,0,8335,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,male,55-74 years,0,5503,0.0,0.7829999999999999,"1,280,133,333",14093
Antigua and Barbuda,2014,male,75+ years,0,1083,0.0,0.7829999999999999,"1,280,133,333",14093
Argentina,1985,male,75+ years,202,363000,55.65,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,male,55-74 years,485,1997000,24.29,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,male,35-54 years,414,3346300,12.37,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,female,55-74 years,210,2304000,9.11,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,male,25-34 years,177,2234200,7.92,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,female,75+ years,41,537000,7.64,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,male,15-24 years,156,2415200,6.46,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,female,35-54 years,142,3355300,4.23,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,female,25-34 years,65,2185200,2.97,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,female,15-24 years,69,2354200,2.93,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,male,5-14 years,16,3044200,0.53,0.6940000000000001,"88,416,668,900",3264
Argentina,1985,female,5-14 years,11,2955200,0.37,0.6940000000000001,"88,416,668,900",3264
Argentina,1990,male,75+ years,226,411100,54.97,0.705,"141,352,368,715",4859
Argentina,1990,male,55-74 years,502,2128000,23.59,0.705,"141,352,368,715",4859
Argentina,1990,male,35-54 years,439,3619000,12.13,0.705,"141,352,368,715",4859
Argentina,1990,female,75+ years,61,643000,9.49,0.705,"141,352,368,715",4859
